	TopicalFocus	Date	Name	Volume/Issue	DOI/link	txt	pdf	Date_ann	Name_ann	Primary_Coder	A_dominant_frame	B_dominant_frame	C_dominant_frame	D_dominant_frame	E_dominant_frame	F_dominant_frame	G_dominant_frame	H_dominant_frame	A_other_frames	B_other_frames	C_other_frames	D_other_frames	E_other_frames	F_other_frames	G_other_frames	H_other_frames	Global	Urgent	Policy	Quotes?	Maud_comments	Mike_comments	Sam_comments	Noam_comments	Labels_dominant	Labels_other
30	Nature	1989	Uranium bites dust	342	10.1038/342600a0	342600a0.txt	342600a0.pdf	1989	Uranium bites dust	Noam					1												0	0	0			Just one brief mention, but agree to keep since it explicitly links CC to nuclear	Keep, as it frames CC as a challenge that nuclear energy provides an answer to	Based on our Science coding. I would keep this	E_dominant_frame	
31	Nature	1989	We're all greens now	341	10.1038/341266b0	341266b0.txt	341266b0.pdf	1989	We're all greens now	Maud						1											0	0	0	On identity crisis of British green party 					F_dominant_frame	
32	Nature	1989	Towards a greenhouse convention	339	10.1038/339323a0	339323a0.txt	339323a0.pdf	1989	Towards a greenhouse convetion	Maud						1									1		1	0	1	interesting argument for gov to take responsibility over ghg					F_dominant_frame	G_other_frames
33	Nature	1990	Adirondacks awake	343	10.1038/343101b0	343101b0.txt	343101b0.pdf	1990	Adirondacks awake	Mike								1		1							0	0	0			Review of McKibbin's book - is this an alarmist version of H?			H_dominant_frame	B_other_frames
34	Nature	1990	Environmental policy still undefined	347	10.1038/347409a0	347409a0.txt	347409a0.pdf	1990	Environmental policy still undefined	Maud						1									1		0	0	0	Author argues that climate change is given too much prominence					F_dominant_frame	G_other_frames
35	Nature	1990	Greenhouse numbers	347	10.1038/347410b0	347410b0.txt	347410b0.pdf	1990	Greenhouse numbers	Mike							1										0	0	0						G_dominant_frame	
36	Nature	1990	Learning to live in a greenhouse	345	10.1038/345559a0	345559a0.txt	345559a0.pdf	1990	Learning to live in a greenhouse	Noam						1				1							1	0	0						F_dominant_frame	B_other_frames
37	Nature	1990	Next steps on global warming	348	10.1038/348181a0	348181a0.txt	348181a0.pdf	1990	Next steps on global warming	Mike						1							1		1	1	1	0	0	Yes, fascinating viewpoints here					F_dominant_frame	E_other_frames/G_other_frames/H_other_frames
38	Nature	1990	The great sky greenhouse	345	10.1038/345371a0	345371a0.txt	345371a0.pdf	1990	The great sky greenhouse	Maud							1									1	1	1	1	Yes - IPCC authors need to tell their findings to broader professional community before making them publics to avoid embarassment					G_dominant_frame	H_other_frames
39	Nature	1990	US muffs greenhouse gathering	344	10.1038/344797a0	344797a0.txt	344797a0.pdf	1990	US muffs greenhouse gathering	Mike						1			1						1		1	0	0	Good quotes					F_dominant_frame	A_other_frames/G_other_frames
40	Nature	1990	Towards a greenhouse treaty?	347	10.1038/347001a0	347001a0.txt	347001a0.pdf	1990	Towards a greenhouse treaty	Sam						1				1							1	0	0	Yes, IPCC will resolve science so the real issue now is political negotiation					F_dominant_frame	B_other_frames
41	Nature	1990	What greenhouse convention?	345	10.1038/345189a0	345189a0.txt	345189a0.pdf	1990	What greenhouse convention	Maud						1				1							1	0	1	The politics of cataclysmic populism will get us nowhere					F_dominant_frame	B_other_frames
42	Nature	1990	Doctrinal fallacies of stewardship	344	10.1038/344179a0	344179a0.txt	344179a0.pdf	1990	Doctoral fallacies of stewardship	Sam	1									1			1		1		0	0	0				This article is a critique of no growth, and mentions CC more in passing, but does frame this as part of a broader narrative for why economic growth must continue.		A_dominant_frame	B_other_frames/E_other_frames/G_other_frames
43	Nature	1990	How to organize for the greenhouse	347	10.1038/347601a0	347601a0.txt	347601a0.pdf	1990	How to organise for the greenhouse	Noam						1											1	1	0						F_dominant_frame	
44	Nature	1991	Too much caution on global warming	350	10.1038/350541a0	350541a0.txt	350541a0.pdf	1991	Too much caution on global warming	Noam						1											0	1	0						F_dominant_frame	
45	Nature	1991	What global treaty?	349	10.1038/349001b0	349001b0.txt	349001b0.pdf	1991	What global treaty	Maud					1									1			1	1	1						E_dominant_frame	F_other_frames
46	Nature	1991	What kind of greenhouse treaty?	349	10.1038/349441a0	349441a0.txt	349441a0.pdf	1991	What kind of greenhouse treaty	Mike						1						1			1		1	0	0						F_dominant_frame	D_other_frames/G_other_frames
47	Nature	1992	Dangers of disappointment at Rio	357	10.1038/357265a0	357265a0.txt	357265a0.pdf	1992	Dangers of disappointment at Rio	Sam						1			1	1		1					1	0	0	Yes, really interesting points about Rio					F_dominant_frame	A_other_frames/B_other_frames/D_other_frames
48	Nature	1992	Earth Summit raises expectations	356	10.1038/356001a0	356001a0.txt	356001a0.pdf	1992	Earth Summit raises expectations	Mike						1									1		1	1	0						F_dominant_frame	G_other_frames
49	Nature	1992	Hiding from the midday Sun	356	10.1038/356643a0	356643a0.txt	356643a0.pdf	1992	Hiding from the midday Sun	Noam	1													1			1	0	1						A_dominant_frame	F_other_frames
50	Nature	1992	Saving the world	355	10.1038/355752a0	355752a0.txt	355752a0.pdf	1992	Saving the world	Mike						1				1		1	1				1	0	0						F_dominant_frame	B_other_frames/D_other_frames/E_other_frames
51	Nature	1992	The best global warming treaty yet	357	10.1038/357097a0	357097a0.txt	357097a0.pdf	1992	The best global warming treaty yet	Maud		1												1			1	0	1						B_dominant_frame	F_other_frames
52	Nature	1992	Two successful weeks at Rio	357	10.1038/357523a0	357523a0.txt	357523a0.pdf	1992	Two successful weeks at Rio	Sam	1									1				1			1	0	0	Yes, real task is least cost			It's surprising, but when this article discusses CC the emphasis is on least cost solutions as priority		A_dominant_frame	B_other_frames/F_other_frames
53	Nature	1992	Unreasonable hope for Rio fades	356	10.1038/356461a0	356461a0.txt	356461a0.pdf	1992	Unreasonable hope for Rio fades	Noam		1								1		1	1	1			1	0	0	Which one is primary frame?					B_dominant_frame	B_other_frames/D_other_frames/E_other_frames/F_other_frames
54	Nature	1992	Muddled carbon tax	357	10.1038/357178a0	357178a0.txt	357178a0.pdf	1992	Muddles carbon tax	Maud					1				1					1			1	1	1	also A as secondary frame					E_dominant_frame	A_other_frames/F_other_frames
55	Nature	1993	Half-tax on US energy	363	10.1038/363568a0	363568a0.txt	363568a0.pdf	1993	Half-tax on US energy	Maud	1												1				1	0	1						A_dominant_frame	E_other_frames
56	Nature	1993	Waiting in the wings	365	10.1038/365002a0	365002a0.txt	365002a0.pdf	1993	Waiting in the wings	Noam					1												0	0	0			Agree to keep - fascinating to see how AGW solution is framed as nuclear	Keep, for the same reason as a previous one that nuclear is the solution to the challenge of CC	Fine with me	E_dominant_frame	
57	Nature	1993	Environmental protection or imperialism?	363	10.1038/363657a0	363657a0.txt	363657a0.pdf	1993	Environmental protection or impe..	Mike						1									1		1	0	0						F_dominant_frame	G_other_frames
58	Nature	1994	IPCC's ritual on global warming	371	10.1038/371269a0	371269a0.txt	371269a0.pdf	1994	IPCC's ritual on global warming	Mike							1									1	1	0	0	Yes, criticisms of the IPCC					G_dominant_frame	H_other_frames
59	Nature	1994	The motor-car as black sheep	372	10.1038/372115a0	372115a0.txt	372115a0.pdf	1994	The motor-car as black sheep	Sam						1											0	0	0				Interesting article that is hard to code because it argues against the car being seen as the greenhouse villain and advocates looking to other things (unspecified) for solutions - I think that puts the ball in F's court (i.e. institutional challenge)		F_dominant_frame	
60	Nature	1994	Are fast reactors gone for good?	368	10.1038/368571a0	368571a0.txt	368571a0.pdf	1994	Are fast reactors gone for good	Sam					1									1		1	0	1	0	Yes, nuclear as solution			CC deemed to be politically unlikely to be tackled, but when it is, nuclear will be the solution		E_dominant_frame	F_other_frames/H_other_frames
61	Nature	1994	Britain's very own Brundtland strategy	367	10.1038/367395a0	367395a0.txt	367395a0.pdf	1994	Britain's very own brundtland	Maud						1							1				1	0	1						F_dominant_frame	E_other_frames
62	Nature	1995	Berlin and global warming policy	374	10.1038/374199a0	374199a0.txt	374199a0.pdf	1995	Berlin and global warming policy	Noam							1							1			1	0	0	Yes - science is the answer					G_dominant_frame	F_other_frames
63	Nature	1995	Global warming rows	378	10.1038/378322a0	378322a0.txt	378322a0.pdf	1995	Global warming rows	Mike							1		1							1	1	0	0	Yes, criticisms of the IPCC					G_dominant_frame	A_other_frames/H_other_frames
64	Nature	1995	Making nuclear power usable again	375	10.1038/375091a0	375091a0.txt	375091a0.pdf	1995	Making nuclear power usable again	Maud					1									1			1	0	1						E_dominant_frame	F_other_frames
65	Nature	1995	The great Berlin greenhouse compromise	374	10.1038/374749a0	374749a0.txt	374749a0.pdf	1995	The great Berlin greenhouse	Sam				1										1	1		1	0	0				This article genuinely lists 2 key priorities: ethical and political agreement, and the need for better science. Impossible to split in terms of dominance?		D_dominant_frame	F_other_frames/G_other_frames
66	Nature	1995	Conflicts of interest on the greenhouse	374	10.1038/374483a0	374483a0.txt	374483a0.pdf	1995	Conflicts on interest on the greenh..	Maud		1												1			1	0	1	"On the ""politics"" of measuring GHG"					B_dominant_frame	F_other_frames
67	Nature	1996	Climate debate must not overheat	381	10.1038/381539a0	381539a0.txt	381539a0.pdf	1996	Climate debate must not overheat	Noam								1						1	1		0	0	0	Global Climate Coalition					H_dominant_frame	F_other_frames/G_other_frames
68	Nature	1996	Don't ban sceptics	383	10.1038/383745b0	383745b0.txt	383745b0.pdf	1996	Don't ban sceptics	Maud								1						1			0	0	0			I disagree with Sam here.  I think keep since the editorial argues that env science (ie. CC) needs sceptical voices to be heard so it Frame H	Remove, as the only reference to CC is reporting on Brown, the editorial itself doesn't present a CC challenge	While this is a secondary account, I'm inclined to side with Mike because of how explicitly the H framing comes out!	H_dominant_frame	F_other_frames
69	Nature	1996	More worries about pollution	381	10.1038/381451a0	381451a0.txt	381451a0.pdf	1996	More worries about pollution	Mike							1										0	0	0						G_dominant_frame	
70	Nature	1997	Coming down to Earth	388	10.1038/40210	40210.txt	40210.pdf	1997	Coming down to Earth	Sam								1						1	1		1	0	0						H_dominant_frame	F_other_frames/G_other_frames
71	Nature	1997	High noon at Kyoto	390	10.1038/36651	36651.txt	36651.pdf	1997	High noon at Kyoto	Mike						1						1					1	0	0	Contraction-and-convergence					F_dominant_frame	D_other_frames
72	Nature	1997	Post-Kyoto agendas	390	10.1038/37682	37682.txt	37682.pdf	1997	Post-Kyoto agendas	Maud					1				1					1			1	0	1						E_dominant_frame	A_other_frames/F_other_frames
73	Nature	1997	Opportunity in Kyoto for a president's legacy	389	10.1038/39118	39118.txt	39118.pdf	1997	Opportunity in Kyoto for a president	Noam								1	1					1			1	0	0						H_dominant_frame	A_other_frames/F_other_frames
74	Nature	1997	Cooperation can help get the message across	388	10.1038/40208	40208.txt	40208.pdf	1997	Cooperation can help to get the	Maud							1							1		1	0	0	1	"Strong case for interdisciplinarity, social scientist needed to translate ""science"" into practice"					G_dominant_frame	F_other_frames/H_other_frames
75	Nature	1997	Seizing global warming as an opportunity	387	10.1038/387637a0	387637a0.txt	387637a0.pdf	1997	Seizing global warming as an opp..	Sam						1				1					1		1	0	0	Yes, awesome quote about how red and green don't sit well together politically!					F_dominant_frame	B_other_frames/G_other_frames
76	Nature	1998	Bridging economics and ecology	395	10.1038/26549	26549.txt	26549.pdf	1998	Bridging economics and ecology	Mike	1																0	0	0						A_dominant_frame	
77	Nature	1999	A timely boost to research on carbon sequestration	401	10.1038/43718	43718.txt	43718.pdf	1999	A timely boost to research on carbon	Noam					1										1		0	0	1						E_dominant_frame	G_other_frames
78	Nature	1999	Better news - perhaps - on global warming	400	10.1038/22820	22820.txt	22820.pdf	1999	Better news - perhaps - on global	Noam	1													1			1	0	0						A_dominant_frame	F_other_frames
79	Nature	2000	Bush's science flashpoints	408	10.1038/35050205	35050205.txt	35050205.pdf	2000	Bush's science flashpoints	Maud						1										1	0	0	1	"About the need for Bush to listen to ""science"" and recognize evidence"					F_dominant_frame	H_other_frames
80	Nature	2000	Think globally, act cautiously	403	10.1038/35001194	35001194.txt	35001194.pdf	2000	Think globally, act cautiously	Noam							1										1	0	0						G_dominant_frame	
81	Nature	2001	Better climate data required	410	10.1038/35066684	35066684.txt	35066684.pdf	2001	Better climate data required	Mike							1										1	0	0	Classic call for 'more data'					G_dominant_frame	
82	Nature	2001	Europe's right approach to energy	411	10.1038/35079241	35079241.txt	35079241.pdf	2001	Europe's right approach to energy	Maud					1				1					1	1		1	0	1	not sure which one is dominant					E_dominant_frame	A_other_frames/F_other_frames/G_other_frames
83	Nature	2001	Problems with the president	410	10.1038/35069194	35069194.txt	35069194.pdf	2001	Problems with the president	Mike						1											0	0	0	Echoes of Trump 2017!					F_dominant_frame	
84	Nature	2001	Shooting the messenger	412	10.1038/35084333	35084333.txt	35084333.pdf	2001	Shooting the messenger	Noam								1									0	0	0	Very good example of H frame					H_dominant_frame	
85	Nature	2001	Make the most of palaeodata	411	10.1038/35075206	35075206.txt	35075206.pdf	2001	Make the most of paleodata	Maud							1							1			1	0	0	case for more research funding					G_dominant_frame	F_other_frames
86	Nature	2002	A climate for change	416	10.1038/416567b	416567b.txt	416567b.pdf	2002	A climate for change	Noam							1										0	0	1						G_dominant_frame	
87	Nature	2002	Leadership at Johannesburg	418	10.1038/418803a	418803a.txt	418803a.pdf	2002	Leadership at Johannesburg	Maud							1					1					1	0	0	scientists need to lead the way					G_dominant_frame	D_other_frames
88	Nature	2002	Maintaining the climate consensus	416	10.1038/416771b	416771b.txt	416771b.pdf	2002	Maintaining the climate consensus	Mike							1										0	0	0	Gore's criticisms of Pachauri!					G_dominant_frame	
89	Nature	2002	Materials for sustainability	419	10.1038/419543a	419543a.txt	419543a.pdf	2002	Materials for sustainability	Maud							1						1				0	0	0						G_dominant_frame	E_other_frames
90	Nature	2002	Media studies for scientists	416	10.1038/416461a	416461a.txt	416461a.pdf	2002	Media studies for scientists	Maud								1									0	0	0	cc just a small example here					H_dominant_frame	
91	Nature	2003	Climate come-uppance delayed	421	10.1038/421195a	421195a.txt	421195a.pdf	2003	Climate come-uppance delayed	Mike						1			1								1	0	1	Yes, echoes of Trump and Paris					F_dominant_frame	A_other_frames
92	Nature	2003	No way to run a superpower	424	10.1038/424861a	424861a.txt	424861a.pdf	2003	No way to run a superpower	Noam								1									0	0	0						H_dominant_frame	
93	Nature	2003	Welcome to the Anthropocene	424	10.1038/424709b	424709b.txt	424709b.pdf	2003	Welcome to the Anthropocene	Maud								1		1							0	0	0						H_dominant_frame	B_other_frames
94	Nature	2003	Yes, we have no energy policy	422	10.1038/422001b	422001b.txt	422001b.pdf	2003	Yes, we have no energy policy	Mike					1												0	0	0						E_dominant_frame	
95	Nature	2004	Burning issues	432	10.1038/432131a	432131a.txt	432131a.pdf	2004	Burning issues	Noam	1									1				1			1	1	1						A_dominant_frame	B_other_frames/F_other_frames
96	Nature	2004	Carbon impacts made visible	429	10.1038/429001a	429001a.txt	429001a.pdf	2004	Carbon impacts made visible	Sam								1	1								0	0	0	Yes, interesting point about films					H_dominant_frame	A_other_frames
97	Nature	2004	Clean, green conferencing	432	10.1038/432257a	432257a.txt	432257a.pdf	2004	Clean, green conferencing	Sam	1																0	0	0				This article is about how offsetting (of a good kind) might be best for scientific conferences hence the reason it's A (an economic fix)		A_dominant_frame	
98	Nature	2004	Dragged into the fray	429	10.1038/429327b	429327b.txt	429327b.pdf	2004	Dragged into the fray	Mike						1										1	1	0	0	Putin's charade					F_dominant_frame	H_other_frames
99	Nature	2004	Ignorance is not bliss	430	10.1038/430385a	430385a.txt	430385a.pdf	2004	Ignorance is not bliss	Maud							1									1	0	0	0			I would agree to keep but if so then it is Frame A economics - it makes this explicit at the end.	Keep. It is tangential, but it does frame CC as a challenge. My Q is, is it really an economic one or a political one as much as a communication one?	Have changed primary framing to A. Agree that the economic frame is made explicit at the end. 	G_dominant_frame	H_other_frames
100	Nature	2004	Kyoto Challenge has just begun	431	10.1038/431613a	431613a.txt	431613a.pdf	2004	Kyoto Challenge has just begun	Mike						1											1	0	0						F_dominant_frame	
101	Nature	2004	Leapfrogging the power grid	427	10.1038/427661a	427661a.txt	427661a.pdf	2004	Leapfrogging the power grid	Maud					1					1				1	1		1	1	0	hydrogen as the solution					E_dominant_frame	B_other_frames/F_other_frames/G_other_frames
102	Nature	2004	Not just academic	431	10.1038/431001a	431001a.txt	431001a.pdf	2004	not just academic	Noam								1						1			0	0	0						H_dominant_frame	F_other_frames
103	Nature	2004	States versus gases	430	10.1038/430489b	430489b.txt	430489b.pdf	2004	States versus gases	Sam						1			1								0	0	0				This has to be coded F, but really it's about framing CC as a legal issue		F_dominant_frame	A_other_frames
104	Nature	2004	Welcome climate bloggers	432	10.1038/432933a	432933a.txt	432933a.pdf	2004	welcome climate bloggers	Maud								1									0	0	0	Encourages climate scientist to blog and reach out					H_dominant_frame	
105	Nature	2004	Distributing the costs of climate change	431	10.1038/431001b	431001b.txt	431001b.pdf	2004	Distributing the costs of CC	Maud						1			1								0	0	1	winners and losers are inevitable					F_dominant_frame	A_other_frames
106	Nature	2005	Climate for progress	436	10.1038/436890a	436890a.txt	436890a.pdf	2005	Climate for progress	Noam							1										0	0	0						G_dominant_frame	
107	Nature	2005	Climate of distrust	436	10.1038/436001a	436001a.txt	436001a.pdf	2005	Climate of distrust	Noam								1							1		0	0	0	Yes					H_dominant_frame	G_other_frames
108	Nature	2005	Global reach	437	10.1038/437295b	437295b.txt	437295b.pdf	2005	Global reach	Maud						1											1	0	1	More about pb facing UNEP than CC itself					F_dominant_frame	
109	Nature	2005	Heavy weather	438	10.1038/438257b	438257b.txt	438257b.pdf	2005	Heavy weather	Maud						1									1	1	0	0	0	"""Climate change is a political science"""					F_dominant_frame	G_other_frames/H_other_frames
110	Nature	2005	In praise of soft science	435	10.1038/4351003a	4351003a.txt	4351003a.pdf	2005	In praise of soft science	Noam	1														1		0	0	0		Would keep it, A and G 	I think remove.  CC mentioned only vaguely once as an example, but the thrust of the editorial is too generic to include	Keep. CC a challenge of human behaviour. Is that A in coding terms? G is needed to deliver on the challenge of behaviour so I think G might be secondary	Agree with Sam that behavioural framing is probably A. Disagree that we should get rid of this editorial. It clearly problematises CC in a specific way. 	A_dominant_frame	G_other_frames
111	Nature	2005	Kyoto - the sequel	435	10.1038/435713b	435713b.txt	435713b.pdf	2005	Kyoto - the sequel	Mike							1							1			1	0	0	Fascinating on CC target setting					G_dominant_frame	F_other_frames
112	Nature	2005	Making sense of the world	433	10.1038/433785a	433785a.txt	433785a.pdf	2005	Making sense of the world	Noam							1							1			1	0	1	View from everywhere/nowhere					G_dominant_frame	F_other_frames
113	Nature	2005	Running out of juice	435	10.1038/435247a	435247a.txt	435247a.pdf	2005	Running out of juice	Sam					1				1								0	0	0						E_dominant_frame	A_other_frames
114	Nature	2005	Sustainable outcomes from Gleneagles	435	10.1038/4351137a	4351137a.txt	4351137a.pdf	2005	Sustainable outcomes from Gleneagles	Noam						1											1	0	0						F_dominant_frame	
115	Nature	2005	The heat is on	438	10.1038/438396a	438396a.txt	438396a.pdf	2005	The heat is on	Mike						1											1	0	0	Post-Kyoto treaty					F_dominant_frame	
116	Nature	2005	Two cheers for the G8	436	10.1038/436151b	436151b.txt	436151b.pdf	2005	Two cheers for the G8	Maud						1				1							1	0	0						F_dominant_frame	B_other_frames
117	Nature	2006	A global call to arms	444	10.1038/444002a	444002a.txt	444002a.pdf	2006	A global call to arms	Sam	1												1	1			0	0	1						A_dominant_frame	E_other_frames/F_other_frames
118	Nature	2006	A state of flux	443	10.1038/443724a	443724a.txt	443724a.pdf	2006	A state of flux	Mike								1						1			0	0	0		I would keep and frame as H, potentially F too	Is one sentence here significant enough?  OK to keep?	Keep. I think it's marginal, but it does set up CC as a communication/skeptic challenge with the political bias sentence.	Remove. It talks about actions of the Bush Administration without framing CC per se	H_dominant_frame	F_other_frames
119	Nature	2006	A warm welcome	440	10.1038/440128a	440128a.txt	440128a.pdf	2006	A warm welcome	Sam				1													0	0	0	Yes, best quotes on religion I've seen					D_dominant_frame	
120	Nature	2006	Capturing carbon	442	10.1038/442601b	442601b.txt	442601b.pdf	2006	Capturing carbon	Maud					1										1		1	0	0	Carbon sequestration as only solution for the energy system					E_dominant_frame	G_other_frames
121	Nature	2006	Carbon omissions	441	10.1038/441384a	441384a.txt	441384a.pdf	2006	carbon omissions	Noam	1													1			1	1	1						A_dominant_frame	F_other_frames
122	Nature	2006	Circulation challenge	439	10.1038/439244b	439244b.txt	439244b.pdf	2006	Circulation challenge	Sam							1										1	0	0						G_dominant_frame	
123	Nature	2006	Coming in from the cold	441	10.1038/441127a	441127a.txt	441127a.pdf	2006	Coming in from the cold	Maud							1							1			1	0	0	Arctic/Antarctic		Agree.  Keep this.	Keep. CC is a political opportunity to gather together Arctic research communities which is clearly seen as the challenge.	Keep & agree with coding	G_dominant_frame	F_other_frames
